Nummer,Name,Insgesamt,maeannlich,weiblich
13002,Kreisfreie Stadt Neubrandenburg - Stadt,64111,30908,33203
13003,Kreisfreie Stadt Rostock - Hansestadt,200265,98115,102151
13004,Kreisfreie Stadt Schwerin - Landeshauptstadt,91293,43244,48049
13005,Kreisfreie Stadt Stralsund - Hansestadt,56729,27550,29179
13006,Kreisfreie Stadt Wismar - Hansestadt,42468,20634,21835
13051,Landkreis Bad Doberan,115654,57713,57941
13052,Landkreis Demmin,77572,38600,38973
13053,Landkreis G�strow,96905,48150,48755
13054,Landkreis Ludwigslust,120926,60409,60516
13055,Landkreis Mecklenburg-Strelitz,76008,37678,38330
13056,Landkreis M�ritz,63719,31261,32458
13057,Landkreis Nordvorpommern,103288,51203,52086
13058,Landkreis Nordwestmecklenburg,114167,57345,56820
13059,Landkreis Ostvorpommern,102879,50989,51889
13060,Landkreis Parchim,93446,46371,47074
13061,Landkreis R�gen,65495,32126,33369
13062,Landkreis Uecker-Randow,69610,34519,35091
13071,Landkreis Mecklenburgische Seenplatte,-,-,-
13072,Landkreis Rostock,-,-,-
13073,Landkreis Vorpommern-R�gen,-,-,-
13074,Landkreis Nordwestmecklenburg,-,-,-
13075,Landkreis Vorpommern-Greifswald,-,-,-
13076,Landkreis Ludwigslust-Parchim,-,-,-
14161,Chemnitz - Kreisfreie Stadt,-,-,-
14166,Plauen - Kreisfreie Stadt,-,-,-
14167,Zwickau - Kreisfreie Stadt,-,-,-
14171,Annaberg - Landkreis,-,-,-
14173,Chemnitzer Land - Landkreis,-,-,-
14177,Freiberg - Landkreis,-,-,-
14178,Vogtlandkreis,-,-,-
14181,Mittlerer Erzgebirgskreis,-,-,-
14182,Mittweida - Landkreis,-,-,-
14188,Stollberg - Landkreis,-,-,-
14191,Aue-Schwarzenberg - Landkreis,-,-,-
14193,Zwickauer Land - Landkreis,-,-,-
14262,Dresden - Kreisfreie Stadt,-,-,-
14263,G�rlitz - Kreisfreie Stadt,-,-,-
14264,Hoyerswerda - Kreisfreie Stadt,-,-,-
14272,Bautzen - Landkreis,-,-,-
14280,Mei�en - Landkreis,-,-,-
14284,Niederschlesischer Oberlausitzkreis,-,-,-
14285,Riesa-Gro�enhain - Landkreis,-,-,-
14286,L�bau-Zittau - Landkreis,-,-,-
14287,S�chsische Schweiz - Landkreis,-,-,-
14290,Wei�eritzkreis,-,-,-
14292,Kamenz - Landkreis,-,-,-
14365,Leipzig - Kreisfreie Stadt,-,-,-
14374,Delitzsch - Landkreis,-,-,-
14375,D�beln - Landkreis,-,-,-
14379,Leipziger Land - Landkreis,-,-,-
14383,Muldentalkreis,-,-,-
14389,Torgau-Oschatz - Landkreis,-,-,-
14511,Chemnitz - Stadt,240253,115825,124428
14521,Erzgebirgskreis,361791,176526,185265
14522,Mittelsachsen - Landkreis,322077,158822,163256
14523,Vogtlandkreis,240053,115937,124115
14524,Zwickau - Landkreis,335220,162041,173179
14612,Dresden - Stadt,512354,250250,262104
14625,Bautzen - Landkreis,315174,155497,159677
14626,G�rlitz - Landkreis,269647,131493,138154
